code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,sum_click,final_result
BBB,2013B,1937864,F,Scotland,A Level or Equivalent,50-60%,35-55,N,1,120,98,Pass
BBB,2013B,1971393,F,West Midlands Region,Lower Than A Level,30-40%,35-55,N,0,60,1129,Pass
BBB,2013B,1993672,F,West Midlands Region,Lower Than A Level,0-10%,35-55,Y,3,60,891,Withdrawn
BBB,2013B,1997796,F,North Region,A Level or Equivalent,,35-55,N,0,60,518,Distinction
BBB,2013B,2019837,F,North Western Region,A Level or Equivalent,20-30%,35-55,N,0,60,431,Withdrawn
BBB,2013B,2023366,F,South East Region,Lower Than A Level,60-70%,35-55,N,0,120,1529,Pass
BBB,2013B,2034350,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,0,150,3405,Withdrawn
BBB,2013B,2035022,F,London Region,Lower Than A Level,10-20,35-55,Y,3,120,112,Pass
BBB,2013B,2076177,F,London Region,HE Qualification,30-40%,35-55,N,0,60,68,Withdrawn
BBB,2013B,2092834,F,South Region,A Level or Equivalent,60-70%,0-35,N,0,90,5456,Pass
BBB,2013B,2097916,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,N,0,60,5460,Distinction
BBB,2013B,2132811,F,West Midlands Region,Lower Than A Level,10-20,0-35,Y,0,60,1034,Pass
BBB,2013B,2173572,F,North Western Region,Lower Than A Level,20-30%,0-35,N,0,90,530,Pass
BBB,2013B,2205383,F,North Western Region,A Level or Equivalent,40-50%,35-55,N,0,90,3502,Fail
BBB,2013B,2210318,M,Wales,A Level or Equivalent,50-60%,35-55,N,0,60,107,Distinction
BBB,2013B,2216178,F,East Anglian Region,HE Qualification,70-80%,35-55,N,0,60,1,Fail
BBB,2013B,2231614,F,South Region,A Level or Equivalent,90-100%,35-55,Y,0,120,1502,Distinction
BBB,2013B,2236738,M,Scotland,HE Qualification,30-40%,35-55,N,0,120,1093,Distinction
BBB,2013B,2243551,F,East Anglian Region,Lower Than A Level,60-70%,0-35,N,1,120,119,Fail
BBB,2013B,2244724,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,0,60,286,Fail
BBB,2013B,2249372,F,South Region,A Level or Equivalent,50-60%,35-55,N,0,120,4180,Pass
BBB,2013B,2254619,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,N,0,60,1660,Pass
BBB,2013B,2265234,F,South West Region,Lower Than A Level,50-60%,35-55,N,0,120,83,Withdrawn
BBB,2013B,2269480,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,0,60,610,Distinction
BBB,2013B,2273828,F,North Western Region,A Level or Equivalent,10-20,0-35,N,0,60,1470,Withdrawn
BBB,2013B,2279538,F,South West Region,A Level or Equivalent,50-60%,35-55,N,2,60,56,Fail
BBB,2013B,2280038,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,N,2,60,78,Fail
BBB,2013B,2288607,F,South East Region,Lower Than A Level,50-60%,35-55,N,2,120,1341,Distinction
BBB,2013B,2290090,F,South East Region,Lower Than A Level,30-40%,0-35,N,0,60,544,Pass
BBB,2013B,2291598,F,South Region,A Level or Equivalent,80-90%,35-55,Y,0,90,1882,Pass
BBB,2013B,2293443,F,South East Region,Lower Than A Level,30-40%,35-55,Y,1,120,2316,Distinction
BBB,2013B,2296749,F,West Midlands Region,Lower Than A Level,60-70%,35-55,N,0,60,319,Pass
BBB,2013B,2300911,F,South West Region,Lower Than A Level,70-80%,35-55,N,0,60,425,Withdrawn
BBB,2013B,2301111,F,Scotland,HE Qualification,10-20,0-35,N,1,60,60,Withdrawn
BBB,2013B,2302925,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,0,60,3679,Withdrawn
BBB,2013B,2303034,F,South West Region,A Level or Equivalent,20-30%,35-55,Y,1,60,481,Fail
BBB,2013B,2303848,M,Ireland,Lower Than A Level,30-40%,35-55,N,1,60,55,Withdrawn
BBB,2013B,2308528,M,Scotland,A Level or Equivalent,10-20,0-35,N,0,60,874,Pass
BBB,2013B,2322046,F,South Region,HE Qualification,90-100%,35-55,Y,1,60,245,Withdrawn
BBB,2013B,2322342,F,South West Region,HE Qualification,30-40%,35-55,N,0,120,1143,Distinction
BBB,2013B,2327072,F,Wales,HE Qualification,50-60%,0-35,N,0,120,477,Pass
BBB,2013B,2336550,F,West Midlands Region,HE Qualification,0-10%,35-55,N,0,120,465,Pass
BBB,2013B,2340190,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,N,5,120,5,Fail
BBB,2013B,2366070,F,South East Region,HE Qualification,30-40%,0-35,N,0,240,354,Withdrawn
BBB,2013B,2375144,F,East Anglian Region,Lower Than A Level,40-50%,0-35,N,0,90,2108,Withdrawn
BBB,2013B,2376628,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,120,313,Pass
BBB,2013B,2377567,F,South West Region,HE Qualification,50-60%,35-55,N,0,60,1352,Distinction
BBB,2013B,2380539,F,East Midlands Region,No Formal quals,0-10%,0-35,N,0,60,1031,Pass
BBB,2013B,2384819,F,Scotland,HE Qualification,0-10%,35-55,N,0,120,354,Distinction
BBB,2013B,2395222,F,Wales,HE Qualification,0-10%,35-55,N,0,60,207,Fail
BBB,2013B,2415962,M,Scotland,A Level or Equivalent,0-10%,35-55,Y,0,120,79,Withdrawn
BBB,2013B,2418877,F,Ireland,Lower Than A Level,0-10%,0-35,Y,1,60,582,Withdrawn
BBB,2013B,2422639,F,North Region,Lower Than A Level,60-70%,0-35,N,0,120,26,Withdrawn
BBB,2013B,2423078,M,London Region,A Level or Equivalent,0-10%,35-55,N,1,180,5,Withdrawn
BBB,2013B,2425726,F,East Anglian Region,Lower Than A Level,20-30%,35-55,N,0,60,659,Withdrawn
BBB,2013B,2439201,F,North Region,Lower Than A Level,20-30%,0-35,N,0,60,762,Pass
BBB,2013B,2442685,M,East Anglian Region,Lower Than A Level,40-50%,0-35,N,1,120,81,Pass
BBB,2013B,2444088,F,South West Region,Lower Than A Level,80-90%,35-55,N,0,60,1620,Distinction
BBB,2013B,2444703,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N,2,120,226,Fail
BBB,2013B,2445088,M,London Region,Lower Than A Level,40-50%,35-55,N,0,60,226,Withdrawn
BBB,2013B,2445949,M,East Anglian Region,Lower Than A Level,0-10%,35-55,N,2,60,20,Fail
BBB,2013B,2446144,F,South West Region,A Level or Equivalent,60-70%,35-55,N,0,60,584,Pass
BBB,2013B,2458984,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,Y,0,60,133,Pass
BBB,2013B,2464963,F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,N,0,60,656,Pass
BBB,2013B,2466123,F,North Western Region,Lower Than A Level,30-40%,0-35,Y,0,60,4,Withdrawn
BBB,2013B,2470672,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,1,60,1120,Fail
BBB,2013B,2474493,F,South East Region,A Level or Equivalent,50-60%,0-35,N,0,120,249,Pass
BBB,2013B,2475780,F,Scotland,Lower Than A Level,90-100%,35-55,N,4,120,221,Pass
BBB,2013B,2476649,F,South East Region,Lower Than A Level,80-90%,0-35,N,1,60,647,Pass
BBB,2013B,2481224,M,London Region,Lower Than A Level,10-20,35-55,Y,0,120,1893,Pass
BBB,2013B,2481765,F,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,737,Pass
BBB,2013B,2483179,F,Wales,Lower Than A Level,40-50%,0-35,N,0,60,3793,Distinction
BBB,2013B,2483568,F,South East Region,A Level or Equivalent,50-60%,35-55,N,0,120,1881,Pass
BBB,2013B,2487541,F,London Region,HE Qualification,50-60%,35-55,N,0,60,1914,Distinction
BBB,2013B,2498299,F,Wales,A Level or Equivalent,30-40%,0-35,N,1,120,1669,Distinction
BBB,2013B,2512392,F,Wales,Lower Than A Level,90-100%,35-55,N,0,120,2389,Withdrawn
BBB,2013B,2517864,F,South West Region,HE Qualification,30-40%,35-55,N,0,210,480,Pass
BBB,2013B,2518653,F,Wales,A Level or Equivalent,40-50%,0-35,N,0,120,670,Distinction
BBB,2013B,2521745,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,N,0,60,198,Fail
BBB,2013B,2522093,F,Scotland,HE Qualification,70-80%,0-35,N,0,120,8808,Distinction
BBB,2013B,2524127,F,East Anglian Region,Lower Than A Level,10-20,0-35,N,2,120,238,Pass
BBB,2013B,2528966,F,North Western Region,A Level or Equivalent,10-20,35-55,Y,1,120,446,Pass
BBB,2013B,2531031,F,East Anglian Region,Lower Than A Level,10-20,35-55,N,0,120,1865,Pass
BBB,2013B,2535788,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,N,2,60,1499,Fail
BBB,2013B,2540362,F,North Western Region,HE Qualification,50-60%,35-55,N,0,120,315,Fail
BBB,2013B,2540746,F,West Midlands Region,Lower Than A Level,10-20,0-35,N,0,60,38,Withdrawn
BBB,2013B,2541120,F,South Region,A Level or Equivalent,30-40%,35-55,N,0,60,487,Distinction
BBB,2013B,2553749,F,North Western Region,No Formal quals,0-10%,35-55,N,1,60,1540,Withdrawn
BBB,2013B,2560219,F,East Anglian Region,Lower Than A Level,40-50%,35-55,N,0,90,239,Fail
BBB,2013B,2569163,F,Yorkshire Region,HE Qualification,40-50%,35-55,N,0,120,661,Distinction
BBB,2013B,2570633,F,London Region,Lower Than A Level,30-40%,35-55,N,0,240,1,Withdrawn
BBB,2013B,2571447,F,Ireland,Lower Than A Level,20-30%,0-35,N,0,60,229,Fail
BBB,2013B,2572118,F,London Region,Lower Than A Level,0-10%,0-35,N,0,150,74,Fail
BBB,2013B,2575914,F,North Region,Lower Than A Level,0-10%,0-35,Y,3,60,796,Withdrawn
BBB,2013B,2578567,F,East Midlands Region,Lower Than A Level,10-20,0-35,N,0,60,529,Fail
BBB,2013B,2579459,F,South West Region,Lower Than A Level,20-30%,35-55,N,0,60,653,Distinction
BBB,2013B,2580439,F,Wales,HE Qualification,10-20,35-55,N,0,120,334,Pass
BBB,2013B,2581528,F,South East Region,Lower Than A Level,40-50%,0-35,N,0,120,511,Pass
BBB,2013B,2591421,F,London Region,A Level or Equivalent,10-20,35-55,N,0,90,447,Withdrawn
BBB,2013B,2598220,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,0,120,2,Fail
BBB,2013B,2602809,F,North Region,Lower Than A Level,60-70%,35-55,N,0,60,8660,Pass
BBB,2013B,2608235,F,East Anglian Region,A Level or Equivalent,10-20,0-35,N,0,60,950,Pass
BBB,2013B,2608453,F,Scotland,Lower Than A Level,30-40%,35-55,N,5,120,2176,Fail
BBB,2013B,2612483,F,South Region,A Level or Equivalent,90-100%,0-35,N,0,60,417,Distinction
BBB,2013B,2616787,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,Y,0,90,623,Pass
BBB,2013B,2617596,F,East Midlands Region,HE Qualification,80-90%,35-55,N,0,120,3652,Distinction
BBB,2013B,2617999,F,North Western Region,Lower Than A Level,10-20,35-55,N,0,180,1290,Pass
BBB,2013B,2620178,M,South Region,Lower Than A Level,20-30%,0-35,N,0,60,473,Distinction
BBB,2013B,2622465,M,London Region,Lower Than A Level,20-30%,35-55,N,0,60,1827,Pass
BBB,2013B,2626410,F,Wales,A Level or Equivalent,40-50%,35-55,N,0,60,1081,Withdrawn
BBB,2013B,2635505,F,South Region,Lower Than A Level,20-30%,35-55,N,1,120,458,Pass
BBB,2013B,2635829,F,Scotland,HE Qualification,90-100%,35-55,N,0,60,2443,Distinction
BBB,2013B,2639611,F,Wales,A Level or Equivalent,90-100%,35-55,N,0,120,417,Pass
BBB,2013B,2641393,F,East Midlands Region,HE Qualification,40-50%,35-55,N,0,120,1867,Pass
BBB,2013B,2642029,F,South Region,HE Qualification,70-80%,35-55,N,0,120,1067,Distinction
BBB,2013B,2645061,F,South East Region,Lower Than A Level,80-90%,0-35,N,1,180,1401,Pass
BBB,2013B,2649947,F,London Region,A Level or Equivalent,20-30%,0-35,N,1,120,677,Pass
BBB,2013B,2654302,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,N,1,120,181,Pass
BBB,2013B,2664301,F,South West Region,A Level or Equivalent,40-50%,35-55,N,0,120,51,Fail
BBB,2013B,2680770,F,West Midlands Region,No Formal quals,10-20,0-35,N,0,60,251,Withdrawn
BBB,2013B,2685831,F,Wales,No Formal quals,30-40%,0-35,N,0,60,840,Pass
BBB,2013B,2692384,M,Scotland,Lower Than A Level,50-60%,0-35,N,0,60,975,Pass
BBB,2013J,23798,M,Wales,A Level or Equivalent,50-60%,0-35,N,0,60,590,Distinction
BBB,2013J,27759,M,North Western Region,Lower Than A Level,40-50%,35-55,Y,0,120,366,Fail
BBB,2013J,30091,F,South West Region,A Level or Equivalent,10-20,0-35,Y,0,60,1332,Pass
BBB,2013J,31014,F,West Midlands Region,Lower Than A Level,80-90%,35-55,N,0,120,531,Withdrawn
BBB,2013J,31849,F,South West Region,Lower Than A Level,60-70%,35-55,N,0,120,1179,Pass
BBB,2013J,37622,F,Scotland,HE Qualification,80-90%,0-35,N,1,120,470,Pass
BBB,2013J,38234,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,N,0,60,94,Fail
BBB,2013J,47855,F,Scotland,Lower Than A Level,10-20,35-55,N,3,300,12,Withdrawn
BBB,2013J,48040,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,120,1829,Pass
BBB,2013J,48503,F,West Midlands Region,Lower Than A Level,10-20,0-35,N,0,60,434,Pass
BBB,2013J,51301,F,Wales,Lower Than A Level,30-40%,0-35,Y,2,60,670,Withdrawn
BBB,2013J,52797,F,South West Region,Lower Than A Level,30-40%,35-55,N,1,60,1117,Pass
BBB,2013J,52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,N,1,90,1540,Pass
BBB,2013J,53360,F,North Western Region,Lower Than A Level,10-20,35-55,N,1,120,22,Withdrawn
BBB,2013J,54388,M,East Anglian Region,Lower Than A Level,0-10%,35-55,N,3,75,42,Withdrawn
BBB,2013J,55026,F,London Region,A Level or Equivalent,20-30%,35-55,Y,0,60,283,Pass
BBB,2013J,56340,F,South Region,Lower Than A Level,20-30%,0-35,N,0,60,4,Fail
BBB,2013J,56789,F,South East Region,A Level or Equivalent,60-70%,35-55,N,1,60,379,Pass
BBB,2013J,57079,F,London Region,Lower Than A Level,30-40%,35-55,N,0,60,776,Fail
BBB,2013J,63044,F,London Region,Lower Than A Level,20-30%,0-35,N,1,120,231,Fail
BBB,2013J,68556,F,South East Region,HE Qualification,70-80%,0-35,N,0,60,98,Fail
BBB,2013J,73489,F,South Region,HE Qualification,80-90%,0-35,N,0,120,1845,Pass
BBB,2013J,74585,F,Wales,A Level or Equivalent,60-70%,35-55,N,0,60,7811,Distinction
BBB,2013J,78255,F,North Region,Lower Than A Level,0-10%,0-35,N,1,120,191,Withdrawn
BBB,2013J,80717,F,South West Region,Lower Than A Level,60-70%,35-55,N,0,60,3699,Distinction
BBB,2013J,84812,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,0,120,474,Pass
BBB,2013J,86291,F,Wales,HE Qualification,50-60%,35-55,N,1,60,128,Fail
BBB,2013J,90243,F,Wales,HE Qualification,70-80%,35-55,N,0,60,1084,Pass
BBB,2013J,96475,M,South East Region,Lower Than A Level,60-70%,0-35,N,0,180,207,Pass
BBB,2013J,97567,F,Wales,HE Qualification,70-80%,35-55,N,0,60,471,Pass
BBB,2013J,98268,F,Scotland,HE Qualification,70-80%,35-55,N,0,60,770,Pass
BBB,2013J,98720,F,London Region,Lower Than A Level,20-30%,35-55,Y,0,60,439,Pass
BBB,2013J,100282,F,Wales,Lower Than A Level,20-30%,0-35,N,1,120,42,Withdrawn
BBB,2013J,105527,F,Scotland,HE Qualification,40-50%,35-55,N,0,120,993,Pass
BBB,2013J,105851,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,0,60,385,Pass
BBB,2013J,105883,F,North Western Region,A Level or Equivalent,0-10%,35-55,N,0,60,4022,Pass
BBB,2013J,106588,F,Scotland,A Level or Equivalent,60-70%,35-55,N,0,60,981,Distinction
BBB,2013J,108118,F,South Region,A Level or Equivalent,90-100%,35-55,N,0,60,396,Pass
BBB,2013J,108760,F,London Region,Lower Than A Level,30-40%,35-55,N,3,60,846,Fail
BBB,2013J,109372,F,South West Region,Lower Than A Level,,0-35,N,0,60,1450,Pass
BBB,2013J,109782,F,Scotland,A Level or Equivalent,50-60%,0-35,N,0,60,154,Withdrawn
BBB,2013J,111942,F,South West Region,A Level or Equivalent,70-80%,35-55,N,0,120,1853,Pass
BBB,2013J,119898,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,2,60,167,Pass
BBB,2013J,123716,M,North Region,Lower Than A Level,10-20,0-35,N,0,90,1068,Pass
BBB,2013J,124909,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,N,0,60,1520,Pass
BBB,2013J,125874,F,South East Region,Lower Than A Level,40-50%,35-55,Y,0,60,5,Withdrawn
BBB,2013J,128386,M,South Region,Lower Than A Level,30-40%,35-55,N,0,60,66,Fail
BBB,2013J,128889,F,South Region,A Level or Equivalent,90-100%,35-55,N,1,120,9524,Pass
BBB,2013J,131051,F,Scotland,Lower Than A Level,60-70%,0-35,N,3,60,999,Pass
BBB,2013J,132626,F,South Region,A Level or Equivalent,20-30%,0-35,N,0,60,480,Withdrawn
BBB,2013J,134563,F,Scotland,Lower Than A Level,20-30%,0-35,N,2,60,5183,Pass
BBB,2013J,138289,F,East Midlands Region,Lower Than A Level,40-50%,0-35,N,0,60,575,Fail
BBB,2013J,138920,F,Wales,Lower Than A Level,0-10%,0-35,N,1,60,437,Fail
BBB,2013J,139549,F,Scotland,Lower Than A Level,40-50%,0-35,Y,1,60,286,Pass
BBB,2013J,141949,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,1,60,878,Pass
BBB,2013J,146165,F,Wales,A Level or Equivalent,40-50%,35-55,N,0,60,167,Pass
BBB,2013J,146600,F,Ireland,Lower Than A Level,80-90%,0-35,N,0,120,324,Pass
BBB,2013J,151800,F,Wales,Lower Than A Level,20-30%,0-35,N,0,60,85,Fail
BBB,2013J,151917,F,West Midlands Region,A Level or Equivalent,10-20,0-35,N,3,60,909,Fail
BBB,2013J,152867,F,South Region,A Level or Equivalent,50-60%,0-35,Y,2,60,28,Withdrawn
BBB,2013J,153704,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N,2,60,165,Fail
BBB,2013J,154011,F,South East Region,A Level or Equivalent,30-40%,0-35,N,0,60,681,Pass
BBB,2013J,154570,F,Scotland,Lower Than A Level,50-60%,35-55,N,1,60,12401,Withdrawn
BBB,2013J,156311,F,London Region,A Level or Equivalent,80-90%,35-55,N,0,60,575,Pass
BBB,2013J,157060,F,East Midlands Region,Lower Than A Level,30-40%,0-35,N,0,60,302,Pass
BBB,2013J,157795,M,Yorkshire Region,Lower Than A Level,80-90%,35-55,N,1,60,1519,Pass
BBB,2013J,161491,F,Scotland,A Level or Equivalent,30-40%,0-35,N,0,120,970,Distinction
BBB,2013J,165823,F,Yorkshire Region,Lower Than A Level,10-20,35-55,N,0,60,74,Withdrawn
BBB,2013J,169213,F,London Region,A Level or Equivalent,30-40%,0-35,N,1,60,332,Pass
BBB,2013J,174222,F,South West Region,Lower Than A Level,80-90%,0-35,N,0,60,701,Pass
BBB,2013J,174440,F,Wales,Lower Than A Level,70-80%,0-35,N,0,60,196,Fail
BBB,2013J,174487,F,South Region,Lower Than A Level,10-20,0-35,N,1,60,434,Pass
BBB,2013J,178738,F,East Anglian Region,HE Qualification,70-80%,0-35,N,1,60,161,Fail
BBB,2013J,178963,M,South West Region,A Level or Equivalent,70-80%,0-35,Y,0,120,118,Pass
BBB,2013J,179254,F,South East Region,Lower Than A Level,30-40%,0-35,N,1,60,45,Fail
BBB,2013J,182661,F,South Region,Lower Than A Level,40-50%,35-55,N,3,60,26,Pass
BBB,2013J,188026,F,Wales,HE Qualification,90-100%,0-35,N,1,120,444,Fail
BBB,2013J,189095,F,Scotland,Lower Than A Level,50-60%,0-35,N,1,60,904,Fail
BBB,2013J,191269,F,East Anglian Region,Lower Than A Level,30-40%,35-55,N,0,60,886,Pass
BBB,2013J,193215,F,South East Region,A Level or Equivalent,30-40%,0-35,N,0,120,307,Fail
BBB,2013J,195096,F,Wales,A Level or Equivalent,10-20,0-35,N,0,60,411,Pass
BBB,2013J,195938,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,N,1,60,428,Distinction
BBB,2013J,197240,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,1,150,330,Pass
BBB,2013J,197412,F,North Western Region,A Level or Equivalent,10-20,0-35,N,0,60,716,Pass
BBB,2013J,197759,F,South East Region,A Level or Equivalent,80-90%,35-55,N,0,60,1361,Pass
BBB,2013J,198339,F,South Region,Lower Than A Level,30-40%,35-55,Y,1,60,142,Withdrawn
BBB,2013J,199029,F,South Region,No Formal quals,90-100%,0-35,N,0,60,505,Distinction
BBB,2013J,199663,M,London Region,Post Graduate Qualification,30-40%,35-55,N,0,60,403,Pass
BBB,2013J,202879,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N,1,60,117,Fail
BBB,2013J,203640,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,N,0,60,176,Pass
BBB,2013J,205788,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,0,120,1028,Pass
BBB,2013J,227416,M,South East Region,A Level or Equivalent,30-40%,0-35,N,0,60,93,Fail
BBB,2013J,230081,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,120,727,Pass
BBB,2013J,231959,F,North Region,Lower Than A Level,20-30%,35-55,N,1,180,271,Withdrawn
BBB,2013J,233317,F,Yorkshire Region,HE Qualification,60-70%,0-35,N,1,60,1112,Pass
BBB,2013J,233752,F,North Western Region,Lower Than A Level,60-70%,35-55,N,0,60,7769,Pass
BBB,2013J,233957,F,South Region,A Level or Equivalent,80-90%,0-35,N,0,60,414,Fail
BBB,2013J,234929,F,Wales,HE Qualification,80-90%,0-35,N,1,60,422,Fail
BBB,2013J,235258,F,Scotland,HE Qualification,30-40%,0-35,Y,0,210,15,Withdrawn
BBB,2013J,240993,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,Y,0,60,1246,Pass
BBB,2013J,241338,F,South West Region,Lower Than A Level,60-70%,35-55,N,0,120,85,Fail
BBB,2013J,242149,F,North Western Region,Lower Than A Level,0-10%,0-35,N,1,120,44,Fail
BBB,2013J,242893,F,Yorkshire Region,No Formal quals,30-40%,0-35,N,1,60,464,Withdrawn
BBB,2013J,243851,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,Y,0,60,1060,Pass
BBB,2013J,243909,F,South West Region,Lower Than A Level,80-90%,0-35,N,0,60,42,Fail
BBB,2013J,243992,F,South Region,HE Qualification,80-90%,35-55,N,0,60,236,Pass
BBB,2013J,245987,F,South Region,A Level or Equivalent,80-90%,35-55,Y,1,60,140,Pass
BBB,2013J,247902,F,West Midlands Region,Lower Than A Level,20-30%,0-35,N,2,120,535,Pass
BBB,2013J,248653,M,London Region,A Level or Equivalent,40-50%,0-35,N,0,120,1079,Distinction
BBB,2013J,248716,F,North Region,HE Qualification,80-90%,35-55,N,0,60,672,Pass
BBB,2013J,248800,F,West Midlands Region,Lower Than A Level,0-10%,0-35,Y,2,60,92,Withdrawn
BBB,2013J,251815,F,Wales,Lower Than A Level,10-20,35-55,Y,1,90,84,Fail
BBB,2013J,252257,F,East Midlands Region,A Level or Equivalent,10-20,35-55,N,0,60,405,Pass
BBB,2013J,252652,F,London Region,A Level or Equivalent,50-60%,35-55,N,1,120,285,Withdrawn
BBB,2013J,253577,F,Scotland,HE Qualification,20-30%,0-35,N,0,60,2702,Pass
BBB,2013J,256998,F,East Midlands Region,Lower Than A Level,0-10%,0-35,N,1,60,303,Pass
BBB,2013J,258035,F,North Western Region,HE Qualification,80-90%,35-55,N,0,60,1948,Distinction
BBB,2013J,260179,F,Scotland,Lower Than A Level,30-40%,0-35,N,1,60,164,Pass
BBB,2013J,261332,M,North Western Region,Lower Than A Level,50-60%,35-55,Y,0,60,262,Fail
BBB,2013J,261466,F,London Region,A Level or Equivalent,30-40%,35-55,N,0,60,1965,Pass
BBB,2013J,262639,F,London Region,Lower Than A Level,10-20,0-35,N,0,60,453,Pass
BBB,2013J,264152,F,Wales,A Level or Equivalent,30-40%,0-35,N,1,120,3454,Pass
BBB,2013J,264744,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,N,0,120,334,Pass
BBB,2013J,265170,F,Wales,A Level or Equivalent,40-50%,0-35,N,0,60,485,Fail
BBB,2013J,266331,F,Scotland,A Level or Equivalent,90-100%,0-35,N,0,90,1113,Distinction
BBB,2013J,266564,F,South Region,A Level or Equivalent,80-90%,35-55,N,0,120,457,Pass
BBB,2013J,266744,F,South West Region,A Level or Equivalent,30-40%,0-35,N,0,240,350,Withdrawn
BBB,2013J,268589,F,London Region,A Level or Equivalent,10-20,35-55,Y,0,90,2822,Pass
BBB,2013J,269082,F,South East Region,HE Qualification,90-100%,0-35,N,2,60,2182,Distinction
BBB,2013J,269204,F,South Region,Lower Than A Level,90-100%,35-55,N,0,60,1751,Pass
BBB,2013J,270646,F,East Anglian Region,Lower Than A Level,90-100%,0-35,N,0,90,190,Pass
BBB,2013J,271346,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,1,150,195,Withdrawn
BBB,2013J,272172,F,North Western Region,A Level or Equivalent,0-10%,0-35,N,1,60,242,Fail
BBB,2013J,272617,F,East Midlands Region,Lower Than A Level,20-30%,0-35,Y,2,60,26,Withdrawn
BBB,2013J,274247,F,South Region,Lower Than A Level,0-10%,0-35,Y,1,60,202,Fail
BBB,2013J,274971,F,Ireland,Lower Than A Level,80-90%,35-55,N,0,75,580,Pass
BBB,2013J,276925,F,Wales,A Level or Equivalent,70-80%,35-55,N,0,60,495,Withdrawn
BBB,2013J,277537,M,North Western Region,Lower Than A Level,30-40%,35-55,N,0,60,538,Fail
BBB,2013J,277812,F,South East Region,HE Qualification,90-100%,35-55,N,0,60,1343,Distinction
BBB,2013J,278272,M,East Anglian Region,HE Qualification,20-30%,35-55,N,1,120,274,Fail
BBB,2013J,278794,F,South West Region,A Level or Equivalent,20-30%,0-35,Y,1,60,523,Pass
BBB,2013J,280140,F,Scotland,Lower Than A Level,40-50%,0-35,Y,2,60,107,Fail
BBB,2013J,280151,F,London Region,A Level or Equivalent,10-20,0-35,Y,0,210,71,Fail
BBB,2013J,282038,F,North Western Region,Lower Than A Level,70-80%,0-35,N,0,120,187,Withdrawn
BBB,2013J,282785,F,Ireland,Lower Than A Level,50-60%,0-35,N,1,60,74,Withdrawn
BBB,2013J,284906,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,2,60,405,Pass
BBB,2013J,285050,M,North Western Region,HE Qualification,0-10%,0-35,N,1,180,370,Fail
BBB,2013J,286402,F,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,0,60,1669,Distinction
BBB,2013J,286690,F,Wales,Lower Than A Level,70-80%,0-35,N,2,60,237,Fail
BBB,2013J,287107,F,North Western Region,A Level or Equivalent,0-10%,35-55,N,0,60,4822,Distinction
BBB,2013J,287309,F,South West Region,Lower Than A Level,40-50%,0-35,N,2,120,648,Pass
BBB,2013J,287679,F,Wales,A Level or Equivalent,60-70%,35-55,N,0,60,1293,Pass
BBB,2013J,289753,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,0,210,239,Withdrawn
BBB,2013J,289965,F,Wales,A Level or Equivalent,0-10%,0-35,N,1,60,108,Fail
BBB,2013J,290089,M,London Region,Lower Than A Level,40-50%,0-35,N,0,120,1260,Distinction
